from,to,path
cluster indices,"[0, 12, 9, 21, 23, 28, 31, 38, 7, 10, 18, 13, 16, 44, 33, 11, 19, 49]"
6636719628,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 783673845, 4032463642, 783673869, 768975977, 176184693, 599586666, 1441900235, 1441900232, 2371488776, 176184692, 4552081690, 942605247, 528734118, 176184691, 176179621, 687668870, 176179620, 176179619, 3215687781, 3215687782, 176179618, 1405591090, 176179617, 176179616, 3987390340, 2045030941, 176179615, 3215687783, 176179614, 1322342138, 769828230, 2303349330, 1616495937, 891397528, 943984414, 360176865, 769828000, 360177510, 891397410, 1616497564, 2321320276, 1616497563, 1720734263, 942609398, 360177588, 1720734273, 1382943448, 1360711190, 891397440, 175136140, 2051670612, 1616497557, 3774755622, 1204230041, 4538165803, 4538165799, 1204230016, 1204229986, 1204230039, 1853830380, 4085470977, 6636719628]"
3639654684,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 783673845, 4032463642, 783673869, 768975977, 176184693, 599586666, 1441900235, 1441900232, 2371488776, 176184692, 4552081690, 942605247, 528734118, 176184691, 176179621, 687668868, 176180269, 2045031011, 176180270, 2045031008, 1405591084, 176180272, 3208422453, 700919126, 3137267946, 663606420, 176180273, 763375431, 3718810171, 2046596502, 2045030868, 763375388, 763386390, 175129449, 1412634109, 1412634107, 220497815, 418202980, 804028552, 2046596616, 805380336, 220500339, 179442776, 501570936, 3206342377, 179442766, 176277605, 470133815, 3613178405, 1590309535, 805391746, 176277604, 805391782, 1971425476, 3291866153, 2081301687, 410059676, 2081301686, 176277603, 410049575, 410049574, 313890644, 6761219285, 410049573, 2351239259, 803363042, 176144584, 740571735, 2351239258, 704285481, 493976681, 1341958356, 818498599, 824037478, 824037473, 795512239, 176277599, 795512348, 3613186583, 703571074, 3613186582, 773458442, 176277597, 740474688, 698275165, 702481841, 702481812, 702481838, 795996685, 176277596, 702481833, 2374907921, 806279190, 1794063647, 413554877, 4346950694, 176201780, 806279196, 1225189920, 781288893, 176203292, 176203293, 806279553, 2152896657, 2152851733, 2152851726, 748779907, 175054404, 847531497, 3639654684]"
1867139126,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 842917346, 2210410052, 623819032, 1111364921, 1111364906, 410950244, 192192660, 791267567, 623819009, 915838101, 176668357, 176668356, 176668355, 507091518, 5599947731, 660331613, 3715250687, 571494436, 989885069, 5404994284, 176668352, 480009248, 480009250, 578169146, 6019672074, 1014500873, 496218307, 496218309, 176668351, 3478145202, 549905285, 1014655166, 410853780, 549905261, 3268128294, 1014740079, 626839108, 6299452002, 626839080, 474412288, 410953404, 471730280, 571494582, 791268097, 477521791, 475991731, 459416787, 477521789, 831611119, 737400103, 479804828, 479804831, 598054914, 3313560562, 476276888, 3313560561, 831611222, 598054912, 873731147, 476276942, 1867136925, 1867123165, 410953411, 1180483143, 414567990, 414567991, 1867136910, 414567992, 1867139126]"
600528773,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 409769017, 1951196059, 409770816, 856326834, 2262570605, 2108558707, 2108558664, 1958583524, 856326902, 409770819, 888126458, 830159664, 409770821, 1157368234, 888125817, 929938462, 943922322, 957928403, 549935222, 179406613, 715016027, 600528773]"
175124189,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 2368676884, 2368611021, 2368611019, 730502503, 783673834, 952139698, 783673820, 768975980, 925654363, 409770814, 888125746, 486026990, 796138292, 796138243, 737808397, 409740819, 802058260, 988962487, 2351239238, 880119990, 410194944, 1464784333, 5566471107, 1464784329, 1005013634, 4362401886, 175129445, 4362401880, 1464784327, 1464784323, 4362401876, 175124189]"
4353602424,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 2368676884, 2368611021, 2368611019, 730502503, 783673834, 952139698, 783673820, 768975980, 925654363, 409770814, 888125746, 486026990, 796138292, 796138243, 737808397, 409740819, 802058260, 988962487, 2351239238, 880119990, 410194944, 1464784333, 5566471107, 1464784329, 1005013634, 4362401886, 175129445, 4362401880, 1464784327, 1464784323, 4362401876, 175124189, 1005013636, 1464784319, 1464784314, 5566471644, 710340578, 605440955, 4467629158, 760953106, 710340601, 474431407, 710333855, 1699781403, 1699781390, 1699781381, 1699781359, 1699781352, 1699781349, 1699781346, 703284441, 2918119317, 708319934, 761372472, 410058305, 567346693, 6952006312, 704275968, 6952006317, 533589169, 803415331, 410058120, 663881703, 701682417, 694038538, 1768478912, 694038525, 2429313146, 2788642079, 1279094788, 4362416602, 4362416598, 2788642078, 1279094812, 4362416590, 2887218094, 2373232702, 2373232700, 686160609, 3489661381, 3489661373, 2373232696, 641912335, 695187881, 410046808, 6794335849, 410056356, 803415854, 293106130, 803415948, 1971425473, 530575445, 459503013, 1971425451, 4353602424]"
2339120997,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 783673845, 4032463642, 783673869, 768975977, 176184693, 599586666, 1441900235, 1441900232, 2371488776, 176184692, 4552081690, 942605247, 528734118, 176184691, 176179621, 687668868, 176180269, 2045031011, 176180270, 2045031008, 1405591084, 176180272, 3208422453, 700919126, 3137267946, 663606420, 176180273, 763375431, 3718810171, 2046596502, 2045030868, 763375388, 763386390, 175129449, 1412634109, 1412634107, 220497815, 418202980, 804028552, 2046596616, 805380336, 220500339, 179442776, 501570936, 3206342377, 179442766, 1396365315, 3206342378, 410060113, 663838733, 1608497388, 4308440806, 5897103060, 2046596624, 4648751473, 3364739616, 5562622931, 5897103064, 1616471527, 768038072, 410058308, 5562622938, 5562622941, 6717735698, 5562622946, 5897103072, 2012171657, 5562622951, 5897103079, 2046596650, 5562622969, 5562622973, 664070917, 410058118, 663881698, 5897103388, 5935176103, 5897103391, 5935176112, 5897103395, 942723470, 5935176111, 942723438, 1972014941, 942723486, 1446825411, 4315334782, 803415479, 175040705, 645155644, 1145549562, 410060116, 737737681, 2046596588, 1804730419, 598410133, 4588805633, 223295954, 6010618478, 1614261767, 4588805625, 6010618448, 2046596562, 3701666386, 824382682, 225604293, 6010618467, 4006840293, 410062604, 410062605, 6684811656, 293107382, 866626763, 2046596663, 1726852332, 1726852275, 6711752426, 6824854874, 618260337, 725238550, 6824854868, 742221443, 2339120977, 212641540, 2068584504, 2471636810, 2339120979, 3514094829, 212642551, 3813615494, 3711914797, 1636383781, 212641538, 2339120997]"
3742521291,4552085767,"[4552085767, 938273737, 409773020, 4552085766, 2143420145, 623819027, 409773019, 3133122012, 599038926, 3277613482, 3803019700, 409769015, 3122368904, 915838100, 409769014, 1071128515, 648168652, 1860714789, 1071128573, 1071128522, 409769012, 4625250951, 730502552, 856326944, 730502473, 4032463643, 856326931, 2368611037, 176184694, 2368611035, 783673845, 4032463642, 783673869, 768975977, 176184693, 599586666, 1441900235, 1441900232, 2371488776, 176184692, 4552081690, 942605247, 528734118, 176184691, 176179621, 687668868, 176180269, 2045031011, 176180270, 2045031008, 1405591084, 176180272, 3208422453, 700919126, 3137267946, 663606420, 176180273, 763375431, 3718810171, 2046596502, 2045030868, 763375388, 763386390, 175129449, 1412634109, 1412634107, 220497815, 418202980, 804028552, 2046596616, 805380336, 220500339, 179442776, 501570936, 3206342377, 179442766, 1396365315, 3206342378, 410060113, 663838733, 1608497388, 4308440806, 5897103060, 2046596624, 4648751473, 3364739616, 5562622931, 5897103064, 1616471527, 768038072, 410058308, 5562622938, 5562622941, 6717735698, 5562622946, 5897103072, 2012171657, 5562622951, 5897103079, 2046596650, 5562622969, 5562622973, 664070917, 410058118, 663881698, 5897103388, 5935176103, 5897103391, 5935176112, 5897103395, 942723470, 5935176111, 942723438, 1972014941, 942723486, 1446825411, 4315334782, 803415479, 175040705, 866626851, 1446825391, 410060112, 1446825390, 175040709, 803415497, 5937447979, 5586897606, 5937447974, 3742521291]"
871860615,4552085767,"[4552085767, 1507014220, 2491875432, 2635433527, 453997122, 4023035135, 842917440, 409773016, 842917346, 2210410052, 623819032, 1111364921, 1111364906, 410950244, 192192660, 791267591, 494064139, 1054364542, 192196883, 192196884, 192196885, 667173302, 1511134622, 1511134530, 1511134563, 445428129, 5417963053, 1511134343, 653379391, 1479407321, 1511134328, 2210410049, 1479400995, 1479400992, 1479407318, 1479400990, 1479400988, 1479400986, 1479400984, 1479400983, 1446334341, 477361333, 1344162092, 1344162070, 4433715412, 192203114, 4433715408, 4433715404, 192202835, 1344162088, 2351239272, 1344162084, 1344162095, 475991740, 480163139, 2921630974, 2921630977, 480163135, 480163144, 668987077, 1337181370, 1337181357, 2918158177, 176279670, 857052625, 907030070, 1768465255, 892259857, 1768465210, 1616742633, 1768465205, 1768465200, 410956449, 5922257400, 6351765987, 5922257395, 1616742604, 1616742591, 1616742521, 4428847482, 410956447, 2879488162, 655281116, 1867123235, 179463002, 2531721079, 179462999, 4858887108, 6351765992, 1616746772, 1340861167, 973642840, 3171988261, 907030048, 179460367, 179460670, 5368142637, 973645727, 2210410060, 2916937114, 3965253344, 179462998, 907021993, 1860887522, 179462996, 179462995, 1856633273, 1980587929, 907022036, 179462993, 973643112, 983060324, 871860615]"
