Vertex	Adjacent vertexes
128741420	5497035779,1038387669
128741421	175368623,879007235
128741422	1987516724,175368623
128741423	879007240,879007238
128741424	878988805,734830013
128741425	878988813,734830012
128741426	175368631,3908619330
128741427	878988814,175368631
128741428	3908619329,175368634
128741429	878988792,175368635
128741430	878988809,1362282179
128741431	878988810,3908619328
128741432	411727405,878974068
128741434	772960071,877798859
128741435	1339832219,175364963
128741436	319894103,181291952
128741441	600746440,1185510711
128741442	600746436,600746438
128741443	319894697,600746435
128741444	220403424,319894707
128741448	181291227
175031560	708912262,175036060,414414102
175031561	175031562
175031562	175031563
175031563	175031565
175031565	798686925
175031568	175031569
175031569	798145561
175031572	803967419,175036073,955659499
175031574	943760905,541395610,175036074
175031576	175036077,1412972196
175031578	802037692
175031579	175036080,802037703
175031581	175031582
175031582	412496987
175031583	175031584
175031584	175031586
175031586	453226366
175031587	175031589
175031589	175031590
175031590	1270340157,175031591,1270340226,175036094
175031591	175031592
175031592	175031594
175031594	175031595
175031595	1834514137
175031598	7265823843
175031600	7265823841
175031602	176414573
175031605	1606501379
175031607	3755440413
175031608	175031609
175031609	3755440425
175031613	3755440458
175031614	3755440481
175031616	241918728
175031620	2519459991
175031622	241925326
175031626	176412152
175036060	175060057
175036066	798730680
175036070	455895476,955659525
175036073	568024642,175031572,955659524
175036074	426469563,943761132,175031574
175036077	4378502524,541395635
175036078	4223352631
175036080	802037651,802037672
175036082	412496938
175036083	175036082
175036085	412496920
175036087	175036085
175036088	175036087
175036090	175036088
175036092	414576434
175036094	175036092,456725738,175031590
175036097	175036094
175036102	175036097
175036103	1834514129
175036105	175036103
175036107	175036105
175036110	7265823844
175036112	4355071855,175036110,319893180
175036113	6953803491
175036115	241919966
175036117	175036115
175036120	1606501378
175036122	175036120
175036123	3755440429
175036124	1090785117
175036125	3755440485
175036127	591780251,3755440495
175036128	412820513,3755440496,4355096541
175036130	3429848454
175036132	2519459989
175036133	3459372710
175040704	1342933734
175040705	645155644,866626851,866626790
175040709	1446825390,708415063,803415497
175048158	1195280674,1804730437
175048160	410047434,708414883
175048162	4355578117
175048165	1387234850,2351239268
175054390	487937679
175054394	506695219,802040468,798686946,598701721
175054395	992383544,4856966745
175054396	825446008,598625521,992383528
175054397	4401007284,598701750
175054399	175054400,1387829331
175054400	1078951745,175054399
175054404	847531497,416564071,847531513
175054405	490596679,793882464,748779910,847531517
175054406	847531514,847530101,748779902
175054407	740705362,747722336,747722378
175054408	708414913,807556849,740705348
175054409	2351239268,807556906
175058331	4271034197
175058337	508054662
175058338	492227867
175058339	220533627,175060069,796777460
175058340	175058348
175058348	192105137
175058352	1636170037
175058353	421328831
175060057	1636147157
175060058	1636147137
175060060	1154203779
