Vertex	Adjacent vertexes
176267591	4843537108
1616410315	176267591
5678266183	1616410315
176267589	5678266183
176267588	176267589
1154212012	176267588
1616411434	1154212012
1403120733	1616411434
2744091974	1403120733
1403120741	2744091974
2744091976	1403120741
2744091961	2744091976
1403120750	2744091961
2744091959	1403120750
1651728625	2744091959
1403120749	1651728625
1403120734	1403120749,475876249
475876248	1403120734
931681125	475876248
192072558	931681125
1154203860	192072558
521873741	1154203860
192073541	521873741,845506365,3674760551
1154203793	192073541
2274023181	1154203793
2274023197	2274023181
2274023211	2274023197
2274023266	2274023211
2274023309	2274023266
1636147163	2274023309
492504351	1336665897
491074149	492504351
192106218	491074149
2964663181	192106218
3127083272	2964663181
1336666063	3127083272
1336665714	1336666063
637623877	1336665714
3610206173	637623877
3879175106	3610206173
4573242094	3879175106
3610206174	4573242094
1336665946	3610206174
1336666165	1336665946
475880379	1336666165
1336665811	475880379
2274740896	1336665811
1336666079	2274740896
2274740906	1336666079
475879727	2274740906
1615716305	475879727
475879725	1615716305
1615717044	475879725
1615717055	1615717044
475879567	1615717055
1615713239	475879567
1615713236	1615713239
845506365	1615713236
619073145	2210410029
2324428082	619073145
2338142219	2324428082
2324428077	2338142219
2324428076	2324428077
2210410028	2324428076
1649890765	2210410028
708046989	1649890765
1649890763	708046989
6935652489	1649890763
618799456	6935652489
2210410046	618799456
618799453	2210410046
1615734856	618799453
619073150	1615734856
412356843	619073150
412356840	412356843
412356841	412356840
192082991	412356841
4843545532	192082991
1154203795	4843545532
4373597407	1154203795
176567992	4373597407
1154203934	176567992
513056237	1154203934
1154203853	513056237
1154211995	1154203853
192086923	1154211995
513056236	192086923
1154203800	513056236
176267582	1154203800
911659128	176267582
1154212017	911659128
192073537	1154212017
513070215	192073537
475881557	513070215
475876249	475881557
598701740	4346949759
416564071	598701740
175054404	416564071
847531513	175054404
1387829350	847531513
3881489936	1387829350
1078865560	3881489936
3881393100	1078865560
1078865639	3881393100
598701742	1078865639
598701751	598701742
1078951745	598701751
175054400	1078951745
175054399	175054400
1387829331	175054399
1272931716	1387829331
1078951779	1272931716
552091852	1078951779
3881398360	552091852
1387829332	3881398360
710082539	1387829332
4401007284	710082539
175054397	4401007284
847531469	175054397
414422168	847531469
965928144	414422168
1720557015	965928144
965928130	1720557015
965928137	965928130
574840068	965928137
414422156	574840068
1412916587	414422156
5796720718	1412916587
412359792	5796720718
3206342868	412359792
3206342867	3206342868
3206342866	3206342867
670459730	3206342866
412359795	670459730
412359794	412359795
3206342865	412359794
3206342864	3206342865
3206342863	3206342864
3206342862	3206342863
412359793	3206342862
412359791	412359793
3579744507	412359791
176611811	3579744507
176625127	176611811
3206342458	176625127
3206342459	3206342458
3206342460	3206342459
3206342861	3206342460
176622200	3206342861
4832001155	176622200
1412916575	4832001155
1412916556	1412916575
1007093704	1412916556
6464381894	1007093704
176624721	6464381894
414414109	176624721
4245546421	414414109
2893178375	4245546421
1615660976	2893178375
2374513757	1615660976
1615660993	2374513757
1636170041	1615660993
538850300	1636170041
1636178140	538850300
414414102	1636178140
175031560	414414102
421328831	175031560
175058353	421328831
1636170037	175058353
175058352	1636170037
1984042353	175058352
4290527737	1984042353
4107295675	4290527737
645226647	4107295675
1154203878	645226647
192073543	1154203878
175060062	192073543
798730904	175060062
3674518558	798730904
3674760547	3674518558
3639800845	3674760547
3674760548	3639800845
475877932	3674760548
3669735178	475877932
3674760551	3669735178
