,Cluster ¹,nodes
1 clusters,info
,1,"0,8,2,7,12,11,1,3,4,6,15,9,5,13,10,14"
2 clusters,info
,1,"0,8,2,7,12,11"
,2,"1,3,4,6,15,9,5,13,10,14"
3 clusters,info
,1,"0,8"
,2,"1,3,4,6,15,9,5,13,10,14"
,3,"2,7,12,11"
4 clusters,info
,1,"0,8"
,2,"1,3,4,6,15,9"
,3,"2,7,12,11"
,4,"5,13,10,14"
5 clusters,info
,1,"0,8"
,2,"1,3"
,3,"2,7,12,11"
,4,"4,6,15,9"
,5,"5,13,10,14"
6 clusters,info
,1,"0,8"
,2,"1,3"
,3,2
,4,"4,6,15,9"
,5,"5,13,10,14"
,6,"7,12,11"
7 clusters,info
,1,"0,8"
,2,"1,3"
,3,2
,4,"4,6,15,9"
,5,"5,13,10,14"
,6,"7,12"
,7,11
8 clusters,info
,1,"0,8"
,2,"1,3"
,3,2
,4,"4,6,15"
,5,"5,13,10,14"
,6,"7,12"
,7,9
,8,11
9 clusters,info
,1,"0,8"
,2,"1,3"
,3,2
,4,"4,6"
,5,"5,13,10,14"
,6,"7,12"
,7,9
,8,11
,9,15
10 clusters,info
,1,0
,2,"1,3"
,3,2
,4,"4,6"
,5,"5,13,10,14"
,6,"7,12"
,7,8
,8,9
,9,11
,10,15
11 clusters,info
,1,0
,2,"1,3"
,3,2
,4,"4,6"
,5,"5,13,10"
,6,"7,12"
,7,8
,8,9
,9,11
,10,14
,11,15
12 clusters,info
,1,0
,2,1
,3,2
,4,3
,5,"4,6"
,6,"5,13,10"
,7,"7,12"
,8,8
,9,9
,10,11
,11,14
,12,15
13 clusters,info
,1,0
,2,1
,3,2
,4,3
,5,4
,6,"5,13,10"
,7,6
,8,"7,12"
,9,8
,10,9
,11,11
,12,14
,13,15
14 clusters,info
,1,0
,2,1
,3,2
,4,3
,5,4
,6,"5,13"
,7,6
,8,"7,12"
,9,8
,10,9
,11,10
,12,11
,13,14
,14,15
15 clusters,info
,1,0
,2,1
,3,2
,4,3
,5,4
,6,"5,13"
,7,6
,8,7
,9,8
,10,9
,11,10
,12,11
,13,12
,14,14
,15,15
